Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/cap/d","1368.51","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2016","2016","kcal/cap/d","1399.99","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2017","2017","kcal/cap/d","1403.33","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2018","2018","kcal/cap/d","1363.25","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2019","2019","kcal/cap/d","1343.85","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2020","2020","kcal/cap/d","1348.16","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2021","2021","kcal/cap/d","1304.01","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2022","2022","kcal/cap/d","1340.03","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2023","2023","kcal/cap/d","1369.98","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2010","2010","kcal/cap/d","156.37","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2011","2011","kcal/cap/d","163.66","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2012","2012","kcal/cap/d","159.79","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2013","2013","kcal/cap/d","156.2","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2014","2014","kcal/cap/d","159.13","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2015","2015","kcal/cap/d","194.5","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2016","2016","kcal/cap/d","155.25","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2017","2017","kcal/cap/d","174.01","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2018","2018","kcal/cap/d","159.12","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2019","2019","kcal/cap/d","132.9","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2020","2020","kcal/cap/d","160.06","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2021","2021","kcal/cap/d","193.49","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2022","2022","kcal/cap/d","206.31","E","Estimated value",""
"FBS","Food Balances (2010-)","004","Afghanistan","664","Food supply (kcal/capita/day)","S2807","Rice and products","2023","2023","kcal/cap/d","205.97","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","2742.89","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2011","2011","kcal/cap/d","2730.82","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2012","2012","kcal/cap/d","2752.72","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2013","2013","kcal/cap/d","2722.84","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2014","2014","kcal/cap/d","2760.69","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2015","2015","kcal/cap/d","2775.64","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2763.2","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2751.94","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2777.13","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2800.6","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2850.46","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2858.29","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2022","2022","kcal/cap/d","2861.83","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2901","Grand Total","2023","2023","kcal/cap/d","2855.27","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2010","2010","kcal/cap/d","87.14","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2011","2011","kcal/cap/d","89.63","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2012","2012","kcal/cap/d","104.78","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2013","2013","kcal/cap/d","84.66","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2014","2014","kcal/cap/d","80.73","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/cap/d","122.06","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2016","2016","kcal/cap/d","125.32","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2017","2017","kcal/cap/d","127.01","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2018","2018","kcal/cap/d","129.3","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2019","2019","kcal/cap/d","125.59","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2020","2020","kcal/cap/d","106.38","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2021","2021","kcal/cap/d","111.3","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2022","2022","kcal/cap/d","82.31","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2023","2023","kcal/cap/d","139.16","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2010","2010","kcal/cap/d","1149.25","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2011","2011","kcal/cap/d","1123.53","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2012","2012","kcal/cap/d","1126.72","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2013","2013","kcal/cap/d","1143.55","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2014","2014","kcal/cap/d","1151.34","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2015","2015","kcal/cap/d","1106.52","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2016","2016","kcal/cap/d","1095.63","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2017","2017","kcal/cap/d","1070.46","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2018","2018","kcal/cap/d","1093.77","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2019","2019","kcal/cap/d","1062.5","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2020","2020","kcal/cap/d","1089.49","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2021","2021","kcal/cap/d","1161.46","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2022","2022","kcal/cap/d","1182.8","E","Estimated value",""
"FBS","Food Balances (2010-)","764","Thailand","664","Food supply (kcal/capita/day)","S2807","Rice and products","2023","2023","kcal/cap/d","1157.37","E","Estimated value",""
